City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
410,tiksi,71.6872,128.8694,241.18,100,100,1.87,RU,1674554881
411,bambous virieux,-20.3428,57.7575,298.68,72,100,2.57,MU,1674554881
412,yarqa,31.9785,35.6947,290.18,40,0,3.28,JO,1674554881
413,bihoro,43.8228,144.1044,265.19,93,75,4.12,JP,1674554667
414,new milford,40.9327,-74.0179,276.05,71,75,3.6,US,1674554715
415,sokoto,13.0609,5.239,304.79,10,3,6.53,NG,1674554882
416,jawhar,2.7809,45.5005,307.9,29,48,6.68,SO,1674554882
417,san patricio,28.017,-97.5169,293.07,87,100,8.1,US,1674554883
418,penzance,50.1186,-5.5371,279.69,87,20,3.09,GB,1674554883
419,west plains,36.7281,-91.8524,271.53,73,0,1.34,US,1674554883
420,kem,64.9555,34.5793,270.87,91,100,5.39,RU,1674554883
421,meiganga,6.5167,14.3,304.79,15,87,4.27,CM,1674554884
422,sinalunga,43.2152,11.7495,280.23,78,39,2.1,IT,1674554884
423,cayenne,4.9333,-52.3333,298.17,78,75,3.6,GF,1674554712
424,itaituba,-4.2761,-55.9836,294.77,100,100,0.56,BR,1674554884
425,asau,46.4333,26.4,272.75,70,97,2.57,RO,1674554884
426,tilichiki,60.4667,166.1,256.17,85,100,5.22,RU,1674554885
427,ostrovnoy,68.0531,39.5131,269.52,87,96,9.24,RU,1674554885
428,santa isabel do rio negro,-0.4139,-65.0192,293.97,97,83,0.79,BR,1674554885
429,pita,10.8333,-12.5833,303.34,28,40,0.42,GN,1674554885
430,siderno,38.2779,16.302,283.89,67,3,2.12,IT,1674554885
431,verkhoyansk,67.5447,133.385,228.97,100,95,1.13,RU,1674554885
432,bayir,37.2687,28.2167,286.44,54,1,2.17,TR,1674554886
433,zeya,53.75,127.2667,242.47,94,100,1.77,RU,1674554886
434,lata,40.1629,-8.3327,281.38,59,3,2.93,PT,1674554887
435,brandys nad labem-stara boleslav,50.1871,14.6633,275.99,92,35,1.26,CZ,1674554887
436,ban dung,17.699,103.2596,299.26,85,1,6.4,TH,1674554887
437,voi,-3.3945,38.563,302.34,49,100,4.43,KE,1674554888
438,emporia,38.4039,-96.1817,271.26,86,0,0.0,US,1674554888
439,santa lucia,27.9117,-15.5407,287.46,59,40,7.72,ES,1674554889
440,namikupa,-10.8333,39.6,304.2,48,100,4.1,TZ,1674554889
441,mehamn,71.0357,27.8492,274.12,80,40,13.89,NO,1674554889
442,dingzhou,38.5131,114.9956,264.19,10,0,1.32,CN,1674554889
443,benjamin constant,-4.3831,-70.0311,294.96,99,100,0.61,BR,1674554890
444,spiridonovka,53.0925,50.6462,264.79,87,18,1.45,RU,1674554890
445,upernavik,72.7868,-56.1549,252.69,85,100,4.81,GL,1674554890
446,ranfurly,-45.1333,170.1,284.32,88,70,2.16,NZ,1674554891
447,fairbanks,64.8378,-147.7164,252.93,79,100,1.54,US,1674554845
448,aklavik,68.2191,-135.0107,250.91,97,100,4.64,CA,1674554891
449,noumea,-22.2763,166.4572,298.14,87,38,0.91,NC,1674554649
450,long branch,40.3043,-73.9924,276.05,73,75,3.09,US,1674554891
451,touros,-5.1989,-35.4608,300.13,72,31,4.33,BR,1674554892
452,kudahuvadhoo,2.6708,72.8944,299.23,81,92,8.1,MV,1674554892
453,srednebelaya,50.6594,128.0106,247.36,99,64,1.0,RU,1674554892
454,sajanan,37.0573,9.2426,282.29,54,0,4.17,TN,1674554892
455,gambo,4.6482,22.2633,310.0,10,91,1.93,CF,1674554892
456,oudtshoorn,-33.5907,22.2014,296.35,37,44,5.76,ZA,1674554892
457,juba,4.8517,31.5825,309.44,15,91,3.78,SS,1674554892
458,malanje,-9.5402,16.341,295.12,81,99,2.53,AO,1674554893
459,lasa,46.6166,10.7002,277.05,71,97,0.74,IT,1674554893
460,newcastle,-32.9272,151.7765,297.47,84,51,3.6,AU,1674554688
461,puerto del rosario,28.5004,-13.8627,292.01,59,40,7.2,ES,1674554894
462,oranjemund,-28.55,16.4333,295.14,58,3,5.66,NA,1674554894
463,oktyabrskiy,54.4815,53.471,264.43,92,81,0.92,RU,1674554894
464,labrea,-7.2586,-64.7981,295.24,100,100,0.21,BR,1674554894
465,sur,22.5667,59.5289,294.15,45,24,5.51,OM,1674554894
466,marfino,55.7028,37.3822,272.23,86,75,4.0,RU,1674554894
467,shitanjing,39.2342,106.3439,259.46,24,3,2.07,CN,1674554895
468,talnakh,69.4865,88.3972,243.26,95,48,3.79,RU,1674554895
469,ayan,56.45,138.1667,244.86,74,100,3.55,RU,1674554895
470,kokkola,63.8385,23.1307,273.67,97,75,3.09,FI,1674554895
471,mayumba,-3.432,10.6554,299.7,79,97,0.86,GA,1674554896
472,nyrob,60.733,56.7202,263.34,95,100,3.06,RU,1674554896
473,morros,-9.4467,-46.3003,297.46,78,70,0.48,BR,1674554896
474,jiblah,13.9216,44.1467,292.93,46,9,2.36,YE,1674554896
475,moose factory,51.2585,-80.6094,255.14,85,100,4.12,CA,1674554897
476,owando,-0.4819,15.8999,307.45,39,58,1.3,CG,1674554897
477,kaabong,3.4836,34.1492,300.46,33,98,7.38,UG,1674554897
478,dakar,14.6937,-17.4441,293.64,74,48,3.71,SN,1674554897
479,angoche,-16.2325,39.9086,305.29,53,98,6.23,MZ,1674554897
480,aljezur,37.3191,-8.8033,281.53,51,0,4.85,PT,1674554785
481,namibe,-15.1961,12.1522,297.99,77,89,3.74,AO,1674554897
482,adrar,20.5022,-10.0711,293.51,14,0,4.12,MR,1674554898
483,salym,60.0625,71.4789,263.49,94,100,2.08,RU,1674554898
484,kenai,60.5544,-151.2583,273.2,97,100,1.54,US,1674554898
485,aksu,41.1231,80.2644,265.11,66,6,1.21,CN,1674554898
486,viedma,-40.8135,-62.9967,299.52,39,31,8.88,AR,1674554898
487,yarim,14.298,44.3779,291.3,35,22,3.95,YE,1674554899
488,andros town,24.7,-77.7667,296.13,79,18,7.16,BS,1674554899
489,pirajui,-21.9986,-49.4572,294.27,92,100,0.98,BR,1674554899
490,preobrazheniye,42.9019,133.9064,251.42,68,16,4.45,RU,1674554899
491,tortoli,39.9256,9.6572,283.31,67,100,0.7,IT,1674554899
492,westport,41.1415,-73.3579,276.14,70,100,4.63,US,1674554900
493,panama city,8.9936,-79.5197,299.73,82,75,3.09,PA,1674554815
494,verkhnyaya maksakovka,61.635,50.9674,266.16,93,75,3.0,RU,1674554901
495,bucerias,20.75,-105.3333,294.81,84,98,0.72,MX,1674554901
496,sinnamary,5.3833,-52.95,297.31,82,48,4.99,GF,1674554901
497,kodinsk,58.6881,99.1844,251.45,99,100,0.87,RU,1674554902
498,los alamos,35.8881,-106.307,269.03,75,100,0.0,US,1674554902
499,anchorage,61.2181,-149.9003,274.64,91,100,3.6,US,1674554902
500,inuvik,68.3499,-133.7218,251.57,77,100,0.0,CA,1674554902
501,jishui,33.7333,115.4,268.42,15,0,2.6,CN,1674554903
502,saint-denis,48.9167,2.3333,275.97,85,100,6.17,FR,1674554903
